compound_name,logp_2mg,asi,masi,phb,dmphb,cphb,cdmphb,fsi,tml,ce4,casi,chain_length,self_immolative,tg_linkage,branch_modifications,mw,transport_rate
2-MPA-TG,1.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,871.25,13.4
2-MPA-C6-es-TG,2.87,0,0,0,0,0,0,0,0,0,0,5,0,1,0,985.39,9.6
2-MPA-C4-et-TG,2.16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,943.36,0.24
2-MPA-‘C5’-cn-TG,2.37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,973.34,2.82
2-MPA-C5-am-TG,1.74,0,0,0,0,0,0,0,0,0,0,4,0,0,0,970.38,0.1
2-MPA-C6-et-TG,3.22,0,0,0,0,0,0,0,0,0,0,6,0,0,0,971.41,0.31
MPA(O-C4-TG)-Ome,1.74,0,0,0,0,0,0,0,0,0,0,3,0,1,0,985.35,0
MPA(O-C6-TG)-OMe,2.12,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1013.4,2
MPA(O-C10-TG)-OMe,4.23,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1069.51,11
MPA(O-C10αMe-TG)-OMe,4.54,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1083.54,23
MPA(O-C10βMe-TG)-OMe,4.63,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1083.54,42
MPA(O-C10α'αMe-TG)-OMe,4.85,0,0,0,0,0,0,0,0,0,0,9,0,1,2,1097.57,23
MPA(O-C10ααGMe-TG)-OMe,4.94,0,0,0,0,0,0,0,0,0,0,9,0,1,2,1097.57,22
MPA(O-C11-TG)-OMe,4.76,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1083.54,25
MPA(O-C12-TG)-OMe,5.29,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1097.57,31
MPA(O-C12βMe-TG)-OMe,5.69,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1111.59,38
MPA(O-C12α'αMe-TG)-OMe,5.91,0,0,0,0,0,0,0,0,0,0,11,0,1,2,1125.62,31
MPA(O-C12α'βMe-TG)-OMe,6,0,0,0,0,0,0,0,0,0,0,11,0,1,2,1125.62,43
MPA(O-C12α'βMe-TG)-OMF,6.31,0,0,0,0,0,0,0,0,0,0,11,0,1,2,1224.75,42
MPA(O-C12α'βMe-TG-oleate)-COOH,5.22,0,0,0,0,0,0,0,0,0,0,11,0,1,2,1149.64,11
MPA(O-C12β'βMe-TG)-OMe,6.09,0,0,0,0,0,0,0,0,0,0,11,0,1,2,1125.62,42
MPA(O-C15-TG)-OMe,6.88,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1139.65,15
MPA(O-C15βMe-TG)-OMe,7.28,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1153.67,58
MPA(O-ASI-C12α'αMe-TG)-OMe,6.5,1,0,0,0,0,0,0,0,0,0,11,1,1,2,1155.65,11
MPA(O-ASI-C12α'βMe-TG)-OMe,6.59,1,0,0,0,0,0,0,0,0,0,11,1,1,2,1155.65,14
MPA(O-ASI-C12β'βMe-TG)-OMe,6.68,1,0,0,0,0,0,0,0,0,0,11,1,1,2,1155.65,32
MPA(O-MASI-C12βMe-TG)-OMe,6.19,0,1,0,0,0,0,0,0,0,0,11,1,1,1,1155.65,22
MPA(O-MASI-C12α'αMe-TG)-OMe,6.4,0,1,0,0,0,0,0,0,0,0,11,1,1,2,1169.67,26
MPA(O-MASI-C12α'βMe-TG)-OMe,6.5,0,1,0,0,0,0,0,0,0,0,11,1,1,2,1169.67,49
MPA(O-MASI-C12β'βMe-TG)-OMe,6.59,0,1,0,0,0,0,0,0,0,0,11,1,1,2,1169.67,64
MPA(O-PHB-C12α'βMe-TG)-OMe,7.69,0,0,1,0,0,0,0,0,0,0,11,1,1,2,1231.74,1
MPA(O-DMPHB-C5βMe-TG-oleate)-Ome,5.2,0,0,0,1,0,0,0,0,0,0,4,1,1,1,1199.66,13
MPA(O-DMPHB-C10βMe-TG)-OMe,7.32,0,0,0,1,0,0,0,0,0,0,9,1,1,1,1217.72,9
MPA(O-DMPHB-C12βMe-TG)-OMe,8.37,0,0,0,1,0,0,0,0,0,0,11,1,1,1,1245.77,4
